Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
D101,1N4148W,SOD-123,287.446mm,-189.806mm,90.0,top
D102,1N4148W,SOD-123,279.877mm,-189.806mm,90.0,top
D103,1N4148W,SOD-123,272.308mm,-189.806mm,90.0,top
D104,1N4148W,SOD-123,264.739mm,-189.806mm,90.0,top
D105,1N4148W,SOD-123,257.17mm,-189.806mm,90.0,top
D106,1N4148W,SOD-123,249.686mm,-189.806mm,90.0,top
D107,1N4148W,SOD-123,242.117mm,-189.806mm,90.0,top
D108,1N4148W,SOD-123,234.548mm,-189.806mm,90.0,top
D109,1N4148W,SOD-123,226.979mm,-189.806mm,90.0,top
D110,1N4148W,SOD-123,219.41mm,-189.806mm,90.0,top
D111,1N4148W,SOD-123,380.841mm,-170.086mm,180.0,top
D201,1N4148W,SOD-123,69.88125mm,-211.845mm,90.0,top
D202,1N4148W,SOD-123,91.3125mm,-211.845mm,90.0,top
D203,1N4148W,SOD-123,110.36250000000001mm,-211.845mm,90.0,top
D204,1N4148W,SOD-123,129.4125mm,-211.845mm,90.0,top
D205,1N4148W,SOD-123,148.4625mm,-211.845mm,90.0,top
D206,1N4148W,SOD-123,167.5125mm,-211.845mm,90.0,top
D207,1N4148W,SOD-123,186.5625mm,-211.845mm,90.0,top
D208,1N4148W,SOD-123,205.6125mm,-211.845mm,90.0,top
D209,1N4148W,SOD-123,224.6625mm,-211.845mm,90.0,top
D210,1N4148W,SOD-123,243.7125mm,-211.845mm,90.0,top
D211,1N4148W,SOD-123,262.76250000000005mm,-211.845mm,90.0,top
D212,1N4148W,SOD-123,281.8125mm,-211.845mm,90.0,top
D213,1N4148W,SOD-123,300.8625mm,-211.845mm,90.0,top
D214,1N4148W,SOD-123,329.4375mm,-211.845mm,90.0,top
D215,1N4148W,SOD-123,338.96250000000003mm,-268.995mm,90.0,top
D216,1N4148W,SOD-123,319.9125mm,-288.04499999999996mm,90.0,top
D217,1N4148W,SOD-123,338.96250000000003mm,-288.04499999999996mm,90.0,top
D218,1N4148W,SOD-123,358.0125mm,-288.04499999999996mm,90.0,top
D219,1N4148W,SOD-123,74.64375mm,-230.895mm,90.0,top
D220,1N4148W,SOD-123,100.8375mm,-230.895mm,90.0,top
D221,1N4148W,SOD-123,119.8875mm,-230.895mm,90.0,top
D222,1N4148W,SOD-123,138.9375mm,-230.895mm,90.0,top
D223,1N4148W,SOD-123,157.9875mm,-230.895mm,90.0,top
D224,1N4148W,SOD-123,177.03750000000002mm,-230.895mm,90.0,top
D225,1N4148W,SOD-123,196.0875mm,-230.895mm,90.0,top
D226,1N4148W,SOD-123,215.13750000000002mm,-230.895mm,90.0,top
D227,1N4148W,SOD-123,234.1875mm,-230.895mm,90.0,top
D228,1N4148W,SOD-123,253.2375mm,-230.895mm,90.0,top
D229,1N4148W,SOD-123,272.2875mm,-230.895mm,90.0,top
D230,1N4148W,SOD-123,291.3375mm,-230.895mm,90.0,top
D231,1N4148W,SOD-123,310.38750000000005mm,-230.895mm,90.0,top
D232,1N4148W,SOD-123,334.2mm,-230.895mm,90.0,top
D233,1N4148W,SOD-123,384.20625mm,-185.65125mm,90.0,top
D234,1N4148W,SOD-123,384.20625mm,-214.22625mm,90.0,top
D235,1N4148W,SOD-123,384.20625mm,-238.03875mm,90.0,top
D236,1N4148W,SOD-123,384.20625mm,-261.85125mm,90.0,top
D237,1N4148W,SOD-123,77.025mm,-249.94500000000002mm,90.0,top
D238,1N4148W,SOD-123,105.6mm,-249.94500000000002mm,90.0,top
D239,1N4148W,SOD-123,124.65mm,-249.94500000000002mm,90.0,top
D240,1N4148W,SOD-123,143.7mm,-249.94500000000002mm,90.0,top
D241,1N4148W,SOD-123,162.75mm,-249.94500000000002mm,90.0,top
D242,1N4148W,SOD-123,181.8mm,-249.94500000000002mm,90.0,top
D243,1N4148W,SOD-123,200.85mm,-249.94500000000002mm,90.0,top
D244,1N4148W,SOD-123,219.9mm,-249.94500000000002mm,90.0,top
D245,1N4148W,SOD-123,238.95000000000002mm,-249.94500000000002mm,90.0,top
D246,1N4148W,SOD-123,258.0mm,-249.94500000000002mm,90.0,top
D247,1N4148W,SOD-123,277.05mm,-249.94500000000002mm,90.0,top
D248,1N4148W,SOD-123,296.1mm,-249.94500000000002mm,90.0,top
D249,1N4148W,SOD-123,315.15mm,-249.94500000000002mm,90.0,top
D250,1N4148W,SOD-123,336.58125mm,-249.94500000000002mm,90.0,top
D251,1N4148W,SOD-123,384.20625mm,-285.66375mm,90.0,top
D252,1N4148W,SOD-123,131.79375mm,-185.65125mm,90.0,top
D253,1N4148W,SOD-123,169.89374999999998mm,-185.65125mm,90.0,top
D254,1N4148W,SOD-123,193.70624999999998mm,-185.65125mm,90.0,top
D255,1N4148W,SOD-123,105.6mm,-288.04499999999996mm,90.0,top
D256,1N4148W,SOD-123,84.16875mm,-268.995mm,90.0,top
D257,1N4148W,SOD-123,115.125mm,-268.995mm,90.0,top
D258,1N4148W,SOD-123,134.175mm,-268.995mm,90.0,top
D259,1N4148W,SOD-123,153.22500000000002mm,-268.995mm,90.0,top
D260,1N4148W,SOD-123,172.275mm,-268.995mm,90.0,top
D261,1N4148W,SOD-123,191.325mm,-268.995mm,90.0,top
D262,1N4148W,SOD-123,210.375mm,-268.995mm,90.0,top
D263,1N4148W,SOD-123,229.425mm,-268.995mm,90.0,top
D264,1N4148W,SOD-123,248.475mm,-268.995mm,90.0,top
D265,1N4148W,SOD-123,267.525mm,-268.995mm,90.0,top
D266,1N4148W,SOD-123,286.57500000000005mm,-268.995mm,90.0,top
D267,1N4148W,SOD-123,312.76875mm,-268.995mm,90.0,top
D268,1N4148W,SOD-123,336.58125mm,-185.65125mm,90.0,top
D269,1N4148W,SOD-123,312.76875000000007mm,-185.65125mm,90.0,top
D270,1N4148W,SOD-123,207.99375mm,-288.04499999999996mm,90.0,top
