Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,0.1uF,C_0805_2012Metric,164.532500,-94.930000,0.000000,top
C2,0.1uF,C_0805_2012Metric,156.000000,-111.600000,180.000000,top
C3,0.1uF,C_0603_1608Metric,168.480000,-106.367500,90.000000,top
C4,4.7uF,C_0805_2012Metric,142.680000,-98.370000,270.000000,top
C5,0.1uF,C_0805_2012Metric,156.092500,-94.930000,180.000000,top
C6,22pF,C_0805_2012Metric,164.900000,-112.700000,315.000000,top
C7,22pF,C_0805_2012Metric,159.142913,-115.842913,315.000000,top
C8,4.7uF,C_0805_2012Metric,144.600000,-98.370000,270.000000,top
C9,1uF,C_0805_2012Metric,151.797500,-102.700000,180.000000,top
C10,0.1uF,C_0805_2012Metric,151.797500,-104.810000,0.000000,top
C11,10uF,C_0805_2012Metric,147.662500,-106.836000,0.000000,top
C12,100uF,CP_EIA-3528-15_AVX-H,150.362500,-115.500000,180.000000,top
C14,22pF,C_0805_2012Metric,159.500000,-77.200000,0.000000,top
C15,22pF,C_0805_2012Metric,151.800000,-77.000000,180.000000,top
D1,PRG,LED_0805_2012Metric,180.891000,-100.580000,180.000000,top
D2,HB,LED_0805_2012Metric,176.932000,-100.554000,180.000000,top
D3,ERR,LED_0805_2012Metric,172.966000,-100.554000,180.000000,top
D4,BLINK,LED_0805_2012Metric,180.062500,-77.000000,180.000000,top
D5,Schottky,D_SOD-123,136.090000,-95.130000,180.000000,top
F1,500mA,Fuse_1206_3216Metric,141.120000,-95.100000,180.000000,top
R1,22R,R_0805_2012Metric,147.662500,-102.075000,180.000000,top
R2,22R,R_0805_2012Metric,147.687500,-100.175000,180.000000,top
R4,10K,R_0805_2012Metric,170.300000,-94.930000,180.000000,top
R5,1K,R_0805_2012Metric,181.642500,-94.930000,180.000000,top
R6,1K,R_0805_2012Metric,177.922500,-94.930000,180.000000,top
R7,1K,R_0805_2012Metric,174.032500,-94.930000,180.000000,top
R8,1K,R_0805_2012Metric,175.000000,-77.000000,180.000000,top
R9,5.1K,R_0805_2012Metric,140.360000,-105.192500,270.000000,top
R10,5.1K,R_0805_2012Metric,140.460000,-98.370000,270.000000,top
SW1,PRG,SW_SPST_TL3342,177.000000,-111.000000,0.000000,top
U1,ATmega32U4-AU,TQFP-44_10x10mm_P0.8mm,160.875000,-102.850000,270.000000,top
USB1,CLEAN-TYPE-C-31-M-12,HRO-TYPE-C-31-M-12-HandSoldering,128.330000,-102.420000,270.000000,top
Y1,16MHz,Crystal_SMD_3225-4Pin_3.2x2.5mm,161.110000,-113.440000,135.000000,top
Y2,16MHz,Crystal_SMD_3225-4Pin_3.2x2.5mm,155.750000,-75.500000,90.000000,top
